STATE,FACILITY_NAME,ORISPL_CODE,UNITID,OP_DATE,OP_HOUR,OP_TIME,GLOAD (MW),HG_RATE_EO (lb/GWh),HG_RATE_HI (lb/TBtu),HG_MASS (lbs),HG_MEASURE_FLG,HCL_RATE_EO (lb/MWh),HCL_RATE_HI (lb/MMBtu),HCL_MASS (lbs),HCL_MEASURE_FLG,HF_RATE_EO (lb/MWh),HF_RATE_HI (lb/MMBtu),HF_MASS (lbs),HF_MEASURE_FLG,HEAT_INPUT (mmBtu),FAC_ID,UNIT_ID,OP_DATE_TIME
CO,Rawhide Energy Station,6761,101,01-01-2015,0,1.0,304.0,0.0125,1.4085029096000001,0.0038,Measured,,,,,,,,,2697.9,875,2906,2015-01-01 00:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,1,1.0,304.0,0.011000000000000001,1.2357723577,0.0033439999999999998,Measured,,,,,,,,,2706.0,875,2906,2015-01-01 01:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,2,1.0,304.0,0.011000000000000001,1.2335841817,0.0033439999999999998,Measured,,,,,,,,,2710.8,875,2906,2015-01-01 02:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,3,1.0,304.0,0.0109,1.2251266314,0.0033135999999999994,Measured,,,,,,,,,2704.7,875,2906,2015-01-01 03:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,4,1.0,304.0,0.0113,1.2766937970999999,0.0034352,Measured,,,,,,,,,2690.7,875,2906,2015-01-01 04:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,5,1.0,304.0,0.011000000000000001,1.2494862309,0.0033439999999999998,Measured,,,,,,,,,2676.3,875,2906,2015-01-01 05:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,6,1.0,299.0,0.0109,1.2371787571,0.0032591,Measured,,,,,,,,,2634.3,875,2906,2015-01-01 06:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,7,1.0,282.0,0.0101,1.149348291,0.0028482,Measured,,,,,,,,,2478.1,875,2906,2015-01-01 07:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,8,1.0,257.0,0.00998,1.1291978515,0.00256486,Measured,,,,,,,,,2271.4,875,2906,2015-01-01 08:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,9,1.0,302.0,0.0154,1.7587354409,0.0046508,Measured,,,,,,,,,2644.4,875,2906,2015-01-01 09:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,10,1.0,304.0,,,,Unavailable,,,,,,,,,2687.8,875,2906,2015-01-01 10:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,11,1.0,304.0,0.011000000000000001,1.2473888390999999,0.0033439999999999998,Measured,,,,,,,,,2680.8,875,2906,2015-01-01 11:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,12,1.0,304.0,0.0115,1.302679137,0.003496,Measured,,,,,,,,,2683.7,875,2906,2015-01-01 12:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,13,1.0,304.0,0.0111,1.2538178575,0.0033744,Measured,,,,,,,,,2691.3,875,2906,2015-01-01 13:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,14,1.0,304.0,0.0109,1.2250360456,0.0033135999999999994,Measured,,,,,,,,,2704.9,875,2906,2015-01-01 14:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,15,1.0,290.0,0.0101,1.1402655039,0.0029289999999999997,Measured,,,,,,,,,2568.7,875,2906,2015-01-01 15:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,16,1.0,302.0,0.0112,1.2564169235,0.0033824,Measured,,,,,,,,,2692.1,875,2906,2015-01-01 16:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,17,1.0,304.0,0.0116,1.2961370235,0.0035264000000000003,Measured,,,,,,,,,2720.7,875,2906,2015-01-01 17:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,18,1.0,303.0,0.011000000000000001,1.2324360301000001,0.003333,Measured,,,,,,,,,2704.4,875,2906,2015-01-01 18:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,19,1.0,304.0,0.0111,1.2379939098000001,0.0033744,Measured,,,,,,,,,2725.7,875,2906,2015-01-01 19:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,20,1.0,305.0,0.0109,1.2187923890999999,0.0033244999999999998,Measured,,,,,,,,,2727.7,875,2906,2015-01-01 20:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,21,1.0,305.0,0.011000000000000001,1.2327307466,0.003355,Measured,,,,,,,,,2721.6,875,2906,2015-01-01 21:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,22,1.0,305.0,0.0111,1.2482946793,0.0033854999999999996,Measured,,,,,,,,,2712.1,875,2906,2015-01-01 22:00:00
CO,Rawhide Energy Station,6761,101,01-01-2015,23,1.0,304.0,0.0107,1.2010929768,0.0032527999999999997,Measured,,,,,,,,,2708.2,875,2906,2015-01-01 23:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,0,1.0,304.0,0.0124,1.3957862775999998,0.0037695999999999997,Measured,,,,,,,,,2700.7,875,2906,2015-01-02 00:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,1,1.0,304.0,0.0112,1.2573116691,0.0034048000000000004,Measured,,,,,,,,,2708.0,875,2906,2015-01-02 01:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,2,1.0,304.0,0.0112,1.2552720837,0.0034048000000000004,Measured,,,,,,,,,2712.4,875,2906,2015-01-02 02:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,3,1.0,304.0,0.0101,1.1346217804,0.0030704,Measured,,,,,,,,,2706.1,875,2906,2015-01-02 03:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,4,1.0,304.0,0.0115,1.2973614873000001,0.003496,Measured,,,,,,,,,2694.7,875,2906,2015-01-02 04:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,5,1.0,304.0,0.0115,1.2972652046,0.003496,Measured,,,,,,,,,2694.9,875,2906,2015-01-02 05:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,6,1.0,299.0,0.0112,1.262697485,0.0033488,Measured,,,,,,,,,2652.1,875,2906,2015-01-02 06:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,7,1.0,295.0,0.0105,1.1811699206,0.0030975,Measured,,,,,,,,,2622.4,875,2906,2015-01-02 07:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,8,1.0,295.0,0.0107,1.1990047861,0.0031565,Measured,,,,,,,,,2632.6,875,2906,2015-01-02 08:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,9,1.0,304.0,0.0125,1.4075638033000002,0.0038,Measured,,,,,,,,,2699.7,875,2906,2015-01-02 09:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,10,1.0,304.0,0.0111,1.2546569994,0.0033744,Measured,,,,,,,,,2689.5,875,2906,2015-01-02 10:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,11,1.0,287.0,0.0102,1.1519754446,0.0029274,Measured,,,,,,,,,2541.2,875,2906,2015-01-02 11:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,12,1.0,284.0,0.0111,1.24428656,0.0031524,Measured,,,,,,,,,2533.5,875,2906,2015-01-02 12:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,13,1.0,292.0,0.0116,1.3016177996,0.0033872,Measured,,,,,,,,,2602.3,875,2906,2015-01-02 13:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,14,1.0,295.0,0.0107,1.2073515911,0.0031565,Measured,,,,,,,,,2614.4,875,2906,2015-01-02 14:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,15,1.0,301.0,0.0117,1.3174098458,0.0035217,Measured,,,,,,,,,2673.2,875,2906,2015-01-02 15:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,16,1.0,304.0,0.0114,1.2812303597,0.0034655999999999997,Measured,,,,,,,,,2704.9,875,2906,2015-01-02 16:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,17,1.0,304.0,0.0111,1.2480674631,0.0033744,Measured,,,,,,,,,2703.7,875,2906,2015-01-02 17:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,18,1.0,304.0,0.0113,1.2697567827,0.0034352,Measured,,,,,,,,,2705.4,875,2906,2015-01-02 18:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,19,1.0,304.0,0.0107,1.2029585798,0.0032527999999999997,Measured,,,,,,,,,2704.0,875,2906,2015-01-02 19:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,20,1.0,285.0,0.0102,1.155313568,0.002907,Measured,,,,,,,,,2516.2,875,2906,2015-01-02 20:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,21,1.0,297.0,0.0114,1.2800756143,0.0033858000000000004,Measured,,,,,,,,,2645.0,875,2906,2015-01-02 21:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,22,1.0,304.0,0.0109,1.2202540968,0.0033135999999999994,Measured,,,,,,,,,2715.5,875,2906,2015-01-02 22:00:00
CO,Rawhide Energy Station,6761,101,01-02-2015,23,1.0,268.0,0.00998,1.1389201158,0.00267464,Measured,,,,,,,,,2348.4,875,2906,2015-01-02 23:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,0,1.0,228.0,0.01,1.1364769215000001,0.00228,Measured,,,,,,,,,2006.2,875,2906,2015-01-03 00:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,1,1.0,175.0,0.009940000000000001,1.1694117647,0.0017395,Measured,,,,,,,,,1487.5,875,2906,2015-01-03 01:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,2,1.0,154.0,0.0108,1.2952262284,0.0016632,Measured,,,,,,,,,1284.1,875,2906,2015-01-03 02:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,3,1.0,178.0,0.0121,1.3947675171,0.0021538,Measured,,,,,,,,,1544.2,875,2906,2015-01-03 03:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,4,1.0,229.0,0.0116,1.2994178936,0.0026564,Measured,,,,,,,,,2044.3,875,2906,2015-01-03 04:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,5,1.0,272.0,0.013000000000000001,1.455563331,0.003536,Measured,,,,,,,,,2429.3,875,2906,2015-01-03 05:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,6,1.0,304.0,0.0119,1.3389592123,0.0036176000000000003,Measured,,,,,,,,,2701.8,875,2906,2015-01-03 06:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,7,1.0,300.0,0.00979,1.1090133293,0.002937,Measured,,,,,,,,,2648.3,875,2906,2015-01-03 07:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,8,1.0,296.0,0.0108,1.2169014084,0.0031968000000000005,Measured,,,,,,,,,2627.0,875,2906,2015-01-03 08:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,9,1.0,300.0,0.0123,1.3734832128999999,0.0036899999999999997,Measured,,,,,,,,,2686.6,875,2906,2015-01-03 09:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,10,1.0,305.0,,,,Unavailable,,,,,,,,,2709.7,875,2906,2015-01-03 10:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,11,1.0,304.0,0.011000000000000001,1.2325838555,0.0033439999999999998,Measured,,,,,,,,,2713.0,875,2906,2015-01-03 11:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,12,1.0,304.0,0.0108,1.2116023322,0.0032832,Measured,,,,,,,,,2709.8,875,2906,2015-01-03 12:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,13,1.0,304.0,0.0109,1.2221443587,0.0033135999999999994,Measured,,,,,,,,,2711.3,875,2906,2015-01-03 13:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,14,1.0,304.0,0.0106,1.1874124843,0.0032224000000000003,Measured,,,,,,,,,2713.8,875,2906,2015-01-03 14:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,15,1.0,304.0,0.0108,1.2070588235,0.0032832,Measured,,,,,,,,,2720.0,875,2906,2015-01-03 15:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,16,1.0,303.0,0.0109,1.2140940337000001,0.0033027,Measured,,,,,,,,,2720.3,875,2906,2015-01-03 16:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,17,1.0,304.0,0.0112,1.2464946000000001,0.0034048000000000004,Measured,,,,,,,,,2731.5,875,2906,2015-01-03 17:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,18,1.0,304.0,0.0111,1.237494499,0.0033744,Measured,,,,,,,,,2726.8,875,2906,2015-01-03 18:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,19,1.0,304.0,0.0111,1.2420037542,0.0033744,Measured,,,,,,,,,2716.9,875,2906,2015-01-03 19:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,20,1.0,304.0,0.011000000000000001,1.2302711452,0.0033439999999999998,Measured,,,,,,,,,2718.1,875,2906,2015-01-03 20:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,21,1.0,304.0,0.0114,1.2763230582,0.0034655999999999997,Measured,,,,,,,,,2715.3,875,2906,2015-01-03 21:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,22,1.0,304.0,0.0112,1.2569403425,0.0034048000000000004,Measured,,,,,,,,,2708.8,875,2906,2015-01-03 22:00:00
CO,Rawhide Energy Station,6761,101,01-03-2015,23,1.0,304.0,0.011000000000000001,1.2308145312,0.0033439999999999998,Measured,,,,,,,,,2716.9,875,2906,2015-01-03 23:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,0,1.0,304.0,0.0126,1.4074074074,0.0038304000000000003,Measured,,,,,,,,,2721.6,875,2906,2015-01-04 00:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,1,1.0,304.0,0.0112,1.2583339492,0.0034048000000000004,Measured,,,,,,,,,2705.8,875,2906,2015-01-04 01:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,2,1.0,304.0,0.0112,1.2579155429,0.0034048000000000004,Measured,,,,,,,,,2706.7,875,2906,2015-01-04 02:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,3,1.0,304.0,0.0106,1.1913635019,0.0032224000000000003,Measured,,,,,,,,,2704.8,875,2906,2015-01-04 03:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,4,1.0,303.0,0.0109,1.222497779,0.0033027,Measured,,,,,,,,,2701.6,875,2906,2015-01-04 04:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,5,1.0,304.0,0.0102,1.1417209764,0.0031008000000000003,Measured,,,,,,,,,2715.9,875,2906,2015-01-04 05:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,6,1.0,292.0,0.0111,1.2496433666,0.0032412,Measured,,,,,,,,,2593.7,875,2906,2015-01-04 06:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,7,1.0,303.0,0.0121,1.3555292638,0.0036663000000000004,Measured,,,,,,,,,2704.7,875,2906,2015-01-04 07:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,8,1.0,304.0,0.0112,1.2523171987000001,0.0034048000000000004,Measured,,,,,,,,,2718.8,875,2906,2015-01-04 08:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,9,1.0,304.0,0.0112,1.2652075359000001,0.0034048000000000004,Measured,,,,,,,,,2691.1,875,2906,2015-01-04 09:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,10,1.0,296.0,0.0102,1.1467203463,0.0030191999999999997,Measured,,,,,,,,,2632.9,875,2906,2015-01-04 10:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,11,1.0,291.0,0.00985,1.1097409888,0.00286635,Measured,,,,,,,,,2582.9,875,2906,2015-01-04 11:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,12,1.0,304.0,0.0119,1.3363377784000001,0.0036176000000000003,Measured,,,,,,,,,2707.1,875,2906,2015-01-04 12:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,13,1.0,304.0,0.0115,1.2819008506,0.003496,Measured,,,,,,,,,2727.2,875,2906,2015-01-04 13:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,14,1.0,304.0,0.0114,1.2671761307,0.0034655999999999997,Measured,,,,,,,,,2734.9,875,2906,2015-01-04 14:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,15,1.0,304.0,0.01,1.115227998,0.0030399999999999997,Measured,,,,,,,,,2725.9,875,2906,2015-01-04 15:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,16,1.0,304.0,0.0109,1.2130175348,0.0033135999999999994,Measured,,,,,,,,,2731.7,875,2906,2015-01-04 16:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,17,1.0,304.0,0.0108,1.1992110453,0.0032832,Measured,,,,,,,,,2737.8,875,2906,2015-01-04 17:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,18,1.0,304.0,0.0117,1.2975339267000001,0.0035568000000000006,Measured,,,,,,,,,2741.2,875,2906,2015-01-04 18:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,19,1.0,300.0,0.0105,1.1673584345999999,0.00315,Measured,,,,,,,,,2698.4,875,2906,2015-01-04 19:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,20,1.0,284.0,0.0101,1.1180666536,0.0028684,Measured,,,,,,,,,2565.5,875,2906,2015-01-04 20:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,21,1.0,300.0,0.012,1.3215373884000001,0.0036,Measured,,,,,,,,,2724.1,875,2906,2015-01-04 21:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,22,1.0,304.0,0.0108,1.2046672048,0.0032832,Measured,,,,,,,,,2725.4,875,2906,2015-01-04 22:00:00
CO,Rawhide Energy Station,6761,101,01-04-2015,23,1.0,304.0,0.0109,1.2172954704,0.0033135999999999994,Measured,,,,,,,,,2722.1,875,2906,2015-01-04 23:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,0,1.0,304.0,0.0123,1.3749586321,0.0037391999999999994,Measured,,,,,,,,,2719.5,875,2906,2015-01-05 00:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,1,1.0,304.0,0.0112,1.2530085009999998,0.0034048000000000004,Measured,,,,,,,,,2717.3,875,2906,2015-01-05 01:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,2,1.0,297.0,0.0109,1.2269936325,0.0032373000000000007,Measured,,,,,,,,,2638.4,875,2906,2015-01-05 02:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,3,1.0,290.0,0.0095,1.0629678215,0.002755,Measured,,,,,,,,,2591.8,875,2906,2015-01-05 03:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,4,1.0,291.0,0.0117,1.3143529956,0.0034046999999999997,Measured,,,,,,,,,2590.4,875,2906,2015-01-05 04:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,5,1.0,291.0,0.0111,1.2531910766,0.0032301,Measured,,,,,,,,,2577.5,875,2906,2015-01-05 05:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,6,1.0,291.0,0.0109,1.2330029154,0.0031719,Measured,,,,,,,,,2572.5,875,2906,2015-01-05 06:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,7,1.0,291.0,0.0116,1.3061445595999999,0.0033756,Measured,,,,,,,,,2584.4,875,2906,2015-01-05 07:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,8,1.0,301.0,0.0118,1.3365695792,0.0035518,Measured,,,,,,,,,2657.4,875,2906,2015-01-05 08:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,9,1.0,304.0,0.0125,1.4278735956,0.0038,Measured,,,,,,,,,2661.3,875,2906,2015-01-05 09:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,10,1.0,304.0,,,,Unavailable,,,,,,,,,2695.9,875,2906,2015-01-05 10:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,11,1.0,304.0,0.0118,1.3340771319,0.0035872,Measured,,,,,,,,,2688.9,875,2906,2015-01-05 11:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,12,1.0,290.0,0.0105,1.1916875391,0.003045,Measured,,,,,,,,,2555.2,875,2906,2015-01-05 12:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,13,1.0,280.0,0.0107,1.2108964513,0.002996,Measured,,,,,,,,,2474.2,875,2906,2015-01-05 13:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,14,1.0,280.0,0.0106,1.1887215636,0.002968,Measured,,,,,,,,,2496.8,875,2906,2015-01-05 14:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,15,1.0,280.0,0.0108,1.207426632,0.0030239999999999998,Measured,,,,,,,,,2504.5,875,2906,2015-01-05 15:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,16,1.0,295.0,0.0124,1.3833005596,0.003658,Measured,,,,,,,,,2644.4,875,2906,2015-01-05 16:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,17,1.0,304.0,0.0107,1.1957944268,0.0032527999999999997,Measured,,,,,,,,,2720.2,875,2906,2015-01-05 17:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,18,1.0,304.0,0.0103,1.1434831829,0.0031311999999999998,Measured,,,,,,,,,2738.3,875,2906,2015-01-05 18:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,19,1.0,304.0,0.0114,1.268660541,0.0034655999999999997,Measured,,,,,,,,,2731.7,875,2906,2015-01-05 19:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,20,1.0,304.0,0.0116,1.2818611414,0.0035264000000000003,Measured,,,,,,,,,2751.0,875,2906,2015-01-05 20:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,21,1.0,304.0,0.011000000000000001,1.2130005803,0.0033439999999999998,Measured,,,,,,,,,2756.8,875,2906,2015-01-05 21:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,22,1.0,304.0,0.011000000000000001,1.2170621633,0.0033439999999999998,Measured,,,,,,,,,2747.6,875,2906,2015-01-05 22:00:00
CO,Rawhide Energy Station,6761,101,01-05-2015,23,1.0,304.0,0.011000000000000001,1.2087475149,0.0033439999999999998,Measured,,,,,,,,,2766.5,875,2906,2015-01-05 23:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,0,1.0,304.0,0.0123,1.3593630712,0.0037391999999999994,Measured,,,,,,,,,2750.7,875,2906,2015-01-06 00:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,1,1.0,304.0,0.0112,1.2270433905,0.0034048000000000004,Measured,,,,,,,,,2774.8,875,2906,2015-01-06 01:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,2,1.0,304.0,0.0113,1.2456757442,0.0034352,Measured,,,,,,,,,2757.7,875,2906,2015-01-06 02:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,3,1.0,300.0,0.0105,1.1524109168,0.00315,Measured,,,,,,,,,2733.4,875,2906,2015-01-06 03:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,4,1.0,288.0,0.0106,1.1734768402,0.0030528,Measured,,,,,,,,,2601.5,875,2906,2015-01-06 04:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,5,1.0,284.0,0.011000000000000001,1.2169848071,0.003124,Measured,,,,,,,,,2567.0,875,2906,2015-01-06 05:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,6,1.0,292.0,0.0119,1.3150664194,0.0034748000000000005,Measured,,,,,,,,,2642.3,875,2906,2015-01-06 06:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,7,1.0,298.0,0.011000000000000001,1.208969536,0.003278,Measured,,,,,,,,,2711.4,875,2906,2015-01-06 07:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,8,1.0,279.0,0.0106,1.1738509168,0.0029574000000000002,Measured,,,,,,,,,2519.4,875,2906,2015-01-06 08:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,9,1.0,291.0,0.0113,1.2575722808,0.0032883,Measured,,,,,,,,,2614.8,875,2906,2015-01-06 09:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,10,1.0,304.0,0.011000000000000001,1.2184368737,0.0033439999999999998,Measured,,,,,,,,,2744.5,875,2906,2015-01-06 10:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,11,1.0,304.0,0.011000000000000001,1.2244150708,0.0033439999999999998,Measured,,,,,,,,,2731.1,875,2906,2015-01-06 11:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,12,1.0,304.0,0.0114,1.2637106184,0.0034655999999999997,Measured,,,,,,,,,2742.4,875,2906,2015-01-06 12:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,13,1.0,277.0,0.0109,1.2088321255,0.0030193,Measured,,,,,,,,,2497.7,875,2906,2015-01-06 13:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,14,1.0,255.0,0.0105,1.1576375978,0.0026774999999999998,Measured,,,,,,,,,2312.9,875,2906,2015-01-06 14:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,15,1.0,267.0,0.0105,1.1553678137,0.0028035,Measured,,,,,,,,,2426.5,875,2906,2015-01-06 15:00:00
CO,Rawhide Energy Station,6761,101,01-06-2015,16,1.0,268.0,0.0104,1.1480825472,0.0027872,Measured,,,,,,,,,2427.7,875,2906,2015-01-06 16:00:00
